tbm_base,allocation,target_n,mean_pairwise_self_tm,near_duplicate_pair_fraction_tm_ge_0_95,mean_realized_T,mean_realized_D
J_SS_RAW,1T+1D,12,0.24154583333333335,0.0,1.0833333333333333,0.9166666666666666
J_SS_RAW,2D,12,0.4576466666666667,0.08333333333333333,0.16666666666666666,1.8333333333333333
J_SS_RAW,2T,12,0.17551333333333333,0.0,2.0,0.0
J_SS_RAW,3T+2D,12,0.23961008333333333,0.008333333333333333,3.1666666666666665,1.8333333333333333
J_SS_RAW,4T+1D,12,0.20583041666666668,0.0,4.083333333333333,0.9166666666666666
J_SS_RAW,5T,12,0.2049810833333333,0.0,5.0,0.0
V3_EXACT_RAW,1T+1D,12,0.32613166666666665,0.0,1.0833333333333333,0.9166666666666666
V3_EXACT_RAW,2D,12,0.5183300000000001,0.08333333333333333,0.16666666666666666,1.8333333333333333
V3_EXACT_RAW,2T,12,0.3086525,0.0,2.0,0.0
V3_EXACT_RAW,3T+2D,12,0.26447008333333333,0.008333333333333333,3.1666666666666665,1.8333333333333333
V3_EXACT_RAW,4T+1D,12,0.25091883333333337,0.016666666666666666,4.083333333333333,0.9166666666666666
V3_EXACT_RAW,5T,12,0.2663126666666667,0.016666666666666666,5.0,0.0
